Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
"Administrative Fund of the Detectives’ Endowment Association, Inc., Police Department City of New York",NY,Health Plan,21544,10/31/2022,Hacking/IT Incident,Email,No,
St Luke's Health - Texas,TX,Healthcare Provider,16906,10/30/2022,Hacking/IT Incident,Email,Yes,
"Restorative Arts Physical Therapy, Inc. d/b/a Core Conditioning",CA,Healthcare Provider,727,10/28/2022,Hacking/IT Incident,Network Server,No,
"Native American Rehabilitation Association of the Northwest, Inc.",OR,Healthcare Provider,2915,10/28/2022,Hacking/IT Incident,Email,No,
OakBend Medical Center / OakBend Medical Group,TX,Healthcare Provider,500000,10/28/2022,Hacking/IT Incident,Email,No,
"Assurance Health System, LLC",IN,Healthcare Provider,3565,10/28/2022,Hacking/IT Incident,Email,No,
"SightCare, Inc.",AZ,Health Plan,637999,10/28/2022,Hacking/IT Incident,Network Server,Yes,
"Nationwide Optometry, PC",AZ,Healthcare Provider,73073,10/28/2022,Hacking/IT Incident,Network Server,Yes,
Sacramento County Adult Correctional Health,CA,Healthcare Provider,5372,10/27/2022,Unauthorized Access/Disclosure,Network Server,Yes,
"State of New Jersey Department of Human Services, Division of Medical Assistance and Health Services",NJ,Health Plan,3900,10/27/2022,Unauthorized Access/Disclosure,Email,No,
University of Michigan/Michigan Medicine,MI,Healthcare Provider,33857,10/25/2022,Hacking/IT Incident,Email,No,
Coastal Horizons Center Inc.,NC,Healthcare Provider,679,10/25/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"Forest Hill Pediatrics, LLC",MD,Healthcare Provider,4958,10/25/2022,Hacking/IT Incident,Network Server,Yes,
Resource Anesthesiology Associates of NM Inc,NY,Healthcare Provider,7054,10/24/2022,Hacking/IT Incident,Network Server,No,
Resource Anesthesiology Associates Of KY PSC,NY,Healthcare Provider,8980,10/24/2022,Hacking/IT Incident,Network Server,No,
Resource Anesthesiology Associates of CT PC,NY,Healthcare Provider,3123,10/24/2022,Hacking/IT Incident,Network Server,No,
Resource Anesthesiology Associates of VA LLC,NY,Healthcare Provider,3305,10/24/2022,Hacking/IT Incident,Network Server,No,
"Somnia, Inc.",NY,Healthcare Provider,1326,10/24/2022,Hacking/IT Incident,Network Server,No,
Somnia Pain Mgt of Kentucky,NY,Healthcare Provider,10848,10/24/2022,Hacking/IT Incident,Network Server,No,
Saddlebrook Anesthesia Services PC,NJ,Healthcare Provider,8861,10/24/2022,Hacking/IT Incident,Network Server,No,
Primary Anesthesia Services,NY,Healthcare Provider,9517,10/24/2022,Hacking/IT Incident,Network Server,No,
Mid-Westchester Anesthesia Services PC,NY,Healthcare Provider,707,10/24/2022,Hacking/IT Incident,Network Server,No,
Regions Hospital,MN,Healthcare Provider,978,10/24/2022,Hacking/IT Incident,Network Server,No,
Massengale Eye Care,OK,Healthcare Provider,15000,10/21/2022,Hacking/IT Incident,Network Server,Yes,
"Phoenix Programs of Florida, Inc.",FL,Healthcare Provider,6594,10/21/2022,Hacking/IT Incident,Email,No,
"Wenco Management, LLC Health and Welfare Benefit Plan",OH,Health Plan,20526,10/20/2022,Hacking/IT Incident,Network Server,No,
"FOREFRONT DERMATOLOGY, SC",WI,Healthcare Provider,45580,10/20/2022,Theft,Other Portable Electronic Device,Yes,
"Pynenberg & Scheske DDS,SC ",WI,Healthcare Provider,2612,10/20/2022,Hacking/IT Incident,Network Server,No,
"Sigmund Software, LLC ",CT,Business Associate,983,10/20/2022,Hacking/IT Incident,Network Server,Yes,
Fontainebleau Development Health and Welfare Plan ,FL,Health Plan,1825,10/20/2022,Hacking/IT Incident,Network Server,No,
"Delaware Department of Health and Social Services, Division of Developmental Disabilities Services",DE,Healthcare Provider,7000,10/20/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Tift Regional Health System,GA,Healthcare Provider,500,10/14/2022,Hacking/IT Incident,Network Server,No,
"Alain A. Montiel, DDS",CA,Healthcare Provider,17157,10/14/2022,Theft,Laptop,No,
Blue Cross and Blue Shield of Kansas,KS,Health Plan,1308,10/14/2022,Hacking/IT Incident,Network Server,No,
Presbyterian Healthcare Services,NM,Healthcare Provider,2624,10/14/2022,Hacking/IT Incident,Email,No,
Advocate Aurora Health,WI,Healthcare Provider,3000000,10/14/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,
WakeMed Health and Hospitals,NC,Healthcare Provider,495808,10/14/2022,Unauthorized Access/Disclosure,Other,No,
Springfield Clinic,IL,Healthcare Provider,802,10/14/2022,Loss,Other Portable Electronic Device,No,
"HH/Killeen Health System, LLC doing business as Seton Medical Center Harker Heights",TX,Healthcare Provider,15056,10/14/2022,Hacking/IT Incident,Email,Yes,
"Casco Bay EyeCare, PA, LLC",ME,Healthcare Provider,1432,10/14/2022,Loss,Other Portable Electronic Device,No,
Ascension St. Vincent’s Coastal Cardiology,GA,Healthcare Provider,71227,10/14/2022,Hacking/IT Incident,Network Server,No,
The Valley Hospital,NJ,Healthcare Provider,4245,10/14/2022,Improper Disposal,Paper/Films,No,
Keystone Health,PA,Healthcare Provider,235237,10/14/2022,Hacking/IT Incident,Network Server,No,
"Premier Physical Therapy and Sports Performance, Limited Partnership",DE,Healthcare Provider,982,10/12/2022,Hacking/IT Incident,Email,No,
Sage Counseling Omaha,NE,Healthcare Provider,1359,10/12/2022,Theft,Electronic Medical Record,No,
Defense Health Headquarters,VA,Health Plan,1279,10/12/2022,Hacking/IT Incident,Other,No,
Choice Health Insurance LLC,SC,Business Associate,32064,10/11/2022,Hacking/IT Incident,Network Server,Yes,
"Aesthetic Dermatology Associates, PC",PA,Healthcare Provider,33793,10/10/2022,Hacking/IT Incident,Network Server,No,
"Regional Women’s Health Group, LLC",NJ,Healthcare Provider,804,10/10/2022,Unauthorized Access/Disclosure,Other Portable Electronic Device,No,
"Seredor Centers, Inc.",FL,Healthcare Provider,2500,10/8/2022,Hacking/IT Incident,Network Server,No,
"Thomas J. Hubbard, MD, Inc. DBA Hubbard Plastic Surgery & Skin Enhancement Center",VA,Healthcare Provider,914,10/7/2022,Theft,Other,No,
"Lifespire Services, Inc.",NY,Healthcare Provider,15375,10/7/2022,Hacking/IT Incident,Network Server,No,
"Falcon Healthcare, Inc. dba Interim Healthcare of Lubbock Texas",TX,Healthcare Provider,1500,10/7/2022,Hacking/IT Incident,Network Server,No,
"Urology of Greater Atlanta, LLC",GA,Healthcare Provider,79795,10/7/2022,Hacking/IT Incident,"Network Server, Other",No,
Wisconsin Department of Health Services,WI,Health Plan,12358,10/7/2022,Unauthorized Access/Disclosure,Email,No,
Berkshire Farm Center & Services for Youth,NY,Healthcare Provider,951,10/6/2022,Hacking/IT Incident,Email,No,
CareOregon,OR,Health Plan,8022,10/5/2022,Unauthorized Access/Disclosure,Paper/Films,No,
Salud Family Health,CO,Healthcare Provider,501,10/5/2022,Hacking/IT Incident,Network Server,No,
"Valle del Sol, Inc.",AZ,Healthcare Provider,70268,10/5/2022,Hacking/IT Incident,Network Server,No,
Family Medicine Shady Grove LLC,MD,Healthcare Provider,6482,10/3/2022,Hacking/IT Incident,Network Server,No,
"VisionWeb Holdings, LLC",TX,Business Associate,35900,10/3/2022,Hacking/IT Incident,Email,Yes,
Delta Dental of Washington ,WA,Health Plan,6361,9/30/2022,Hacking/IT Incident,Network Server,Yes,
"Monroe Ear Nose and Throat Associates, PC",MI,Healthcare Provider,14500,9/30/2022,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
Riverside Medical Group,NJ,Healthcare Provider,12499,9/30/2022,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
Anthem ACE,IN,Health Plan,13406,9/30/2022,Hacking/IT Incident,Other,Yes,
Trillium Health Inc. ,NY,Healthcare Provider,3191,9/30/2022,Hacking/IT Incident,Email,No,
Zomo Health,TX,Business Associate,1359,9/30/2022,Unauthorized Access/Disclosure,Network Server,Yes,
"Anthem Health Plans of Kentucky, Incorporated",IN,Business Associate,537,9/29/2022,Theft,Other Portable Electronic Device,Yes,
"Smith, Gambrell & Russell, LLP",GA,Business Associate,4688,9/28/2022,Hacking/IT Incident,Network Server,Yes,
"Reid and Riege, P.C.",CT,Business Associate,610,9/28/2022,Hacking/IT Incident,Network Server,Yes,
Molina Healthcare,CA,Health Plan,1068,9/26/2022,Unauthorized Access/Disclosure,Network Server,Yes,
Extended MLTC,NY,Health Plan,5494,9/26/2022,Hacking/IT Incident,"Network Server, Other",Yes,
"Cytometry Specialists, Inc. d/b/a CSI Laboratories",GA,Healthcare Provider,244850,9/26/2022,Hacking/IT Incident,Email,No,
Center for a Brighter Tomorrow PLLC,TN,Healthcare Provider,1082,9/26/2022,Loss,Other Portable Electronic Device,No,
"Kaye-Smith Enterprises, Inc.",WA,Business Associate,2857,9/26/2022,Hacking/IT Incident,Network Server,Yes,
Montefiore Medical Center,NY,Healthcare Provider,1332,9/23/2022,Theft,Other Portable Electronic Device,No,
Upstate Anesthesia Services PC,NY,Healthcare Provider,9065,9/23/2022,Hacking/IT Incident,Network Server,No,
Resource Anesthesiology Associates PC,NY,Healthcare Provider,37697,9/23/2022,Hacking/IT Incident,Network Server,No,
Resource Anesthesiology Associates of IL PC,NY,Healthcare Provider,18321,9/23/2022,Hacking/IT Incident,Network Server,No,
"FMC Services, LLC",TX,Healthcare Provider,233948,9/23/2022,Hacking/IT Incident,Network Server,No,
Resource Anesthesiology Associates of CA A Medical Corporation,CA,Healthcare Provider,16001,9/23/2022,Hacking/IT Incident,Network Server,No,
Providence WA Anesthesia Services PC,NY,Healthcare Provider,98643,9/23/2022,Hacking/IT Incident,Network Server,No,
Palm Springs Anesthesia Services PC,NY,Healthcare Provider,58513,9/23/2022,Hacking/IT Incident,Network Server,No,
Lynbrook Anesthesia Services PC,NY,Healthcare Provider,3800,9/23/2022,Hacking/IT Incident,Network Server,No,
Hazleton Anesthesia Services PC,NY,Healthcare Provider,13607,9/23/2022,Hacking/IT Incident,Network Server,No,
Grayling Anesthesia Associates PC,MI,Healthcare Provider,15378,9/23/2022,Hacking/IT Incident,Network Server,No,
Fredericksburg Anesthesia Services LLC,NY,Healthcare Provider,7069,9/23/2022,Hacking/IT Incident,Network Server,No,
Bronx Anesthesia Services PC,NY,Healthcare Provider,17802,9/23/2022,Hacking/IT Incident,Network Server,No,
Anesthesia Services of San Joaquin PC,NY,Healthcare Provider,44015,9/23/2022,Hacking/IT Incident,Network Server,No,
Anesthesia Associates of Maryland LLC,MD,Healthcare Provider,12403,9/23/2022,Hacking/IT Incident,Network Server,No,
Anesthesia Associates of El Paso PA,NY,Healthcare Provider,43168,9/23/2022,Hacking/IT Incident,Network Server,No,
"Cynthia Paul, M.D., LLC d/b/a The Coeur Group",NE,Healthcare Provider,2020,9/23/2022,Hacking/IT Incident,Email,No,
WellMed Medical Management,TX,Healthcare Provider,10506,9/23/2022,Unauthorized Access/Disclosure,"Electronic Medical Record, Network Server",No,
"Physician’s Business Office, Inc.",WV,Business Associate,196673,9/23/2022,Hacking/IT Incident,Network Server,Yes,
Magellan Rx Management ,MD,Business Associate,13663,9/23/2022,Hacking/IT Incident,Network Server,Yes,
"Dyersburg Family Walk-In Clinic, LLC (d/b/a Reelfoot Family Walk-In Clinic)",TN,Healthcare Provider,58562,9/23/2022,Hacking/IT Incident,Network Server,No,
Bloomington Meadows Hospital,IN,Healthcare Provider,788,9/23/2022,Unauthorized Access/Disclosure,Email,No,
Northern California Fertility Medical Center,CA,Healthcare Provider,12145,9/21/2022,Hacking/IT Incident,Network Server,No,
Seattle Children's Hospital ,WA,Healthcare Provider,6750,9/21/2022,Hacking/IT Incident,Network Server,Yes,
UW Medicine,WA,Healthcare Provider,3804,9/21/2022,Hacking/IT Incident,Network Server,Yes,
"Bonita Springs Retirement Village, Inc.  ",FL,Healthcare Provider,554,9/19/2022,Hacking/IT Incident,Email,No,
"Easterseals-Goodwill Northern Rocky Mountain, Inc. ",MT,Healthcare Provider,3886,9/16/2022,Hacking/IT Incident,Email,No,
Tessie Cleveland Community Services Corp,CA,Healthcare Provider,9747,9/16/2022,Hacking/IT Incident,Network Server,No,
The Cooper Health System,NJ,Healthcare Provider,500,9/16/2022,Hacking/IT Incident,Email,No,
Country Doctor Community Clinic,WA,Healthcare Provider,38751,9/16/2022,Hacking/IT Incident,Network Server,No,
Landmark Management Services,FL,Healthcare Provider,501,9/15/2022,Hacking/IT Incident,Network Server,No,
Neurology Center of Nevada,NV,Healthcare Provider,11700,9/15/2022,Hacking/IT Incident,Electronic Medical Record,No,
"Centerstone of Tennessee, Inc.",TN,Healthcare Provider,3675,9/12/2022,Hacking/IT Incident,Email,No,
Molina Healthcare,CA,Health Plan,8283,9/9/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,
"SERV Behavioral Health Systems, Inc.",NJ,Healthcare Provider,8110,9/9/2022,Hacking/IT Incident,Network Server,No,
FEDERAL EXPRESS CORPORATION GROUP HEALTH PLAN FOR PILOTS,TN,Health Plan,983,9/9/2022,Hacking/IT Incident,Network Server,Yes,
The Sargent’s Group,PA,Business Associate,1650,9/9/2022,Hacking/IT Incident,Network Server,Yes,
Lubbock Heart & Surgical Hospital,TX,Healthcare Provider,23379,9/9/2022,Hacking/IT Incident,Network Server,No,
TennCare,TN,Health Plan,1694,9/9/2022,Unauthorized Access/Disclosure,"Network Server, Paper/Films",No,
Medical Associates of the Lehigh Valley,PA,Healthcare Provider,75628,9/9/2022,Hacking/IT Incident,Network Server,No,
"Wolfe Clinic, P.C.",IA,Healthcare Provider,542776,9/9/2022,Hacking/IT Incident,Electronic Medical Record,No,
Empress Ambulance Service LLC,NY,Healthcare Provider,318558,9/9/2022,Hacking/IT Incident,Network Server,No,
UCLA Health,CA,Healthcare Provider,2190,9/8/2022,Loss,Other Portable Electronic Device,No,
"Dr. Alexander J. Richardson, DPM",OH,Healthcare Provider,11651,9/8/2022,Hacking/IT Incident,Electronic Medical Record,No,
DaVita Inc.,CO,Healthcare Provider,1092,9/6/2022,Hacking/IT Incident,Laptop,No,
Reiter Affiliated Health and Welfare Plan,CA,Health Plan,45000,9/2/2022,Hacking/IT Incident,Network Server,No,
"Reiter Affiliated Companies, LLC",CA,Business Associate,48000,9/2/2022,Hacking/IT Incident,Network Server,Yes,
"The Physicians’ Spine and Rehabilitation Specialists of Georgia, P.C. ",GA,Healthcare Provider,38765,9/2/2022,Hacking/IT Incident,Network Server,No,
"Independent Living Systems, LLC",FL,Business Associate,501,9/2/2022,Hacking/IT Incident,Network Server,Yes,
"Genesis Health Care, Inc.",SC,Healthcare Provider,21226,9/2/2022,Hacking/IT Incident,Network Server,No,
"Shands Teaching Hospitals and Clinics, Inc.",FL,Healthcare Provider,941,9/2/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Narragansett Bay Commission,RI,Healthcare Provider,2153,9/1/2022,Hacking/IT Incident,Network Server,No,
Walgreen Co.,IL,Healthcare Provider,1704,8/31/2022,Theft,Paper/Films,No,
Trinity Health ,MI,Business Associate,5738,8/29/2022,Unauthorized Access/Disclosure,Network Server,Yes,
"The State Psychiatric Hospitals in the New Jersey Department of Health, Division of Behavioral Health Services",NJ,Healthcare Provider,850,8/29/2022,Hacking/IT Incident,Network Server,Yes,
NYSARC Columbia County Chapter d/b/a COARC,NY,Healthcare Provider,501,8/29/2022,Hacking/IT Incident,Network Server,No,
Methodist McKinney Hospital,TX,Healthcare Provider,110244,8/26/2022,Hacking/IT Incident,Network Server,No,
Methodist Craig Ranch Surgical Center,TX,Healthcare Provider,15157,8/26/2022,Hacking/IT Incident,Network Server,No,
NorthStar HealthCare Consulting LLC,GA,Business Associate,18354,8/26/2022,Unauthorized Access/Disclosure,Email,Yes,
First Street Family Health,CO,Healthcare Provider,7310,8/26/2022,Hacking/IT Incident,Network Server,No,
"One Medical, Inc.",TX,Healthcare Provider,1009,8/25/2022,Theft,Paper/Films,No,
USAble Mutual Insurance Company d/b/a Arkansas Blue Cross and Blue Shield,AR,Health Plan,8871,8/25/2022,Hacking/IT Incident,Network Server,Yes,
Health Advantage,AR,Health Plan,1642,8/25/2022,Hacking/IT Incident,Network Server,Yes,
EmergeOrtho,NC,Healthcare Provider,68661,8/25/2022,Hacking/IT Incident,Network Server,No,
General Health System,LA,Healthcare Provider,501,8/25/2022,Hacking/IT Incident,Network Server,No,
Farmville Internal Medicine,NC,Healthcare Provider,3000,8/25/2022,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,
Community Bridges,NH,Healthcare Provider,10461,8/24/2022,Hacking/IT Incident,Network Server,No,
"Warner Norcross and Judd, LLP",MI,Business Associate,255160,8/24/2022,Hacking/IT Incident,Network Server,Yes,
"Henderson & Walton Women’s Center, P.C.",AL,Healthcare Provider,34306,8/23/2022,Hacking/IT Incident,Email,No,
Prowers County Hospital District,CO,Healthcare Provider,1205,8/22/2022,Hacking/IT Incident,Network Server,Yes,
California Department of Corrections and Rehabilitation,CA,Healthcare Provider,236000,8/22/2022,Hacking/IT Incident,Network Server,No,
"Cerebral Medical Group, P.A.",CA,Healthcare Provider,6110,8/19/2022,Unauthorized Access/Disclosure,Paper/Films,No,
Celanese Medical PLan,TX,Health Plan,704,8/19/2022,Unauthorized Access/Disclosure,Email,No,
Medical Mutual of Ohio,OH,Health Plan,1377,8/17/2022,Hacking/IT Incident,Network Server,Yes,
San Diego American Indian Health Center,CA,Healthcare Provider,27367,8/15/2022,Hacking/IT Incident,Network Server,No,
"Choice Health Insurance, LLC",SC,Business Associate,23082,8/15/2022,Hacking/IT Incident,Network Server,Yes,
AdventHealth Medical Group OB GYN at Woodridge,IL,Healthcare Provider,2001,8/15/2022,Loss,Other Portable Electronic Device,No,
Novant Health Inc. on behalf of Novant Health ACE & as contractor for NMG Services Inc.,NC,Business Associate,1362296,8/14/2022,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,
"OMNI Healthcare, INC",FL,Healthcare Provider,1000,8/14/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Priti Patel Physician PC,NY,Healthcare Provider,6877,8/14/2022,Hacking/IT Incident,Network Server,No,
Overlake Medical Center & Clinics,WA,Healthcare Provider,557,8/12/2022,Hacking/IT Incident,Network Server,No,
Common Ground Healthcare Cooperative,WI,Health Plan,133714,8/12/2022,Hacking/IT Incident,Network Server,Yes,
Valley Baptist Medical Center – Harlingen,TX,Healthcare Provider,11137,8/12/2022,Hacking/IT Incident,Network Server,No,
Valley Baptist Medical Center - Brownsville,TX,Healthcare Provider,7496,8/12/2022,Hacking/IT Incident,Network Server,No,
Onyx Technology LLC,MD,Business Associate,96814,8/12/2022,Hacking/IT Incident,Network Server,Yes,
"Conifer Revenue Cycle Solutions, LLC",TX,Business Associate,134948,8/12/2022,Hacking/IT Incident,Email,Yes,
Specialized Treatment Facility,MS,Healthcare Provider,1059,8/12/2022,Unauthorized Access/Disclosure,Email,No,
Rock County Human Services Department,WI,Healthcare Provider,25610,8/12/2022,Hacking/IT Incident,Email,No,
Lamoille Health Partners,VT,Healthcare Provider,59381,8/11/2022,Hacking/IT Incident,Network Server,No,
Northwestern Medical Center,VT,Healthcare Provider,686,8/9/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"DataStat, Inc.",MI,Business Associate,1650,8/8/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,
Maternal and Family Health Services,PA,Healthcare Provider,500,8/8/2022,Hacking/IT Incident,Network Server,No,
Columbia River Mental Health Services,WA,Healthcare Provider,501,8/8/2022,Hacking/IT Incident,Email,No,
"Inline Network Integration, LLC",TX,Business Associate,500,8/5/2022,Hacking/IT Incident,Network Server,Yes,
Niagara County Department of Mental Health and Substance Abuse ,NY,Healthcare Provider,2160,8/5/2022,Hacking/IT Incident,Email,No,
Living Innovations,NH,Healthcare Provider,4000,8/5/2022,Hacking/IT Incident,Email,No,
"Centerstone of Indiana, Inc.",IN,Healthcare Provider,1700,8/4/2022,Hacking/IT Incident,Email,No,
"Practice Resources, LLC",NY,Business Associate,942138,8/4/2022,Hacking/IT Incident,Network Server,Yes,
"Independent Case Management, INC.",AR,Healthcare Provider,3307,8/3/2022,Hacking/IT Incident,Network Server,No,
"Kareem Redmond, DDS, PLLC",NC,Healthcare Provider,1100,8/3/2022,Unauthorized Access/Disclosure,Email,No,
"St. Luke's Health System, Ltd.",ID,Healthcare Provider,31573,8/2/2022,Hacking/IT Incident,Network Server,Yes,
Florida Springs Surgery Center,FL,Healthcare Provider,2203,8/1/2022,Hacking/IT Incident,Email,No,
Sentara Williamsburg Regional Medical Center,VA,Healthcare Provider,591,8/1/2022,Loss,Other,No,
"First Choice Community Health Care, Inc.",NM,Healthcare Provider,101541,8/1/2022,Hacking/IT Incident,Network Server,No,
Eventus WholeHealth PLLC,NC,Healthcare Provider,1707,7/29/2022,Hacking/IT Incident,Email,No,
"Healthback Holdings, LLC ",OK,Healthcare Provider,21114,7/29/2022,Hacking/IT Incident,Email,No,
Granbury Eye Clinic,TX,Healthcare Provider,16475,7/29/2022,Hacking/IT Incident,Electronic Medical Record,Yes,
Minuteman Senior Services,MA,Healthcare Provider,4000,7/29/2022,Hacking/IT Incident,Email,No,
"OneTouchPoint, Inc.",WI,Business Associate,4112892,7/27/2022,Hacking/IT Incident,Network Server,Yes,
"BHG Holdings, LLC dba Behavioral Health Group",TX,Healthcare Provider,197507,7/27/2022,Hacking/IT Incident,Network Server,No,
Aetna ACE,CT,Health Plan,326278,7/27/2022,Hacking/IT Incident,Network Server,Yes,
Steward Medical Group,FL,Healthcare Provider,2188,7/26/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"Conifer Value-Based Care, LLC ",CA,Business Associate,2787,7/26/2022,Hacking/IT Incident,Email,Yes,
Dr. Manaf Ahmad,TX,Healthcare Provider,3717,7/26/2022,Hacking/IT Incident,Email,No,
Allegheny Heath Network,PA,Healthcare Provider,8071,7/26/2022,Hacking/IT Incident,Email,No,
"Lawson Products, Inc.",IL,Health Plan,791,7/26/2022,Hacking/IT Incident,Network Server,No,
Santa Rosa County District Schools,FL,Health Plan,9424,7/25/2022,Unauthorized Access/Disclosure,Other,No,
"Scott County, Iowa",IA,Business Associate,1583,7/25/2022,Hacking/IT Incident,Email,Yes,
"NuLife Med, LLC",NH,Business Associate,3805,7/25/2022,Hacking/IT Incident,Network Server,Yes,
"dormant see master file 489659_ Benefit Plan Administrators, Inc. ",VA,Business Associate,1457,7/25/2022,Hacking/IT Incident,Network Server,Yes,
Center for Primary Care,GA,Healthcare Provider,2400,7/25/2022,Hacking/IT Incident,Email,No,
Radiation Oncology Centers of the Carolinas,NC,Healthcare Provider,1116,7/25/2022,Hacking/IT Incident,Email,No,
"Benefit Plan Administrators, Inc. ",VA,Business Associate,5004,7/22/2022,Hacking/IT Incident,Network Server,Yes,
"City of Newport, Rhode Island",RI,Health Plan,6109,7/22/2022,Hacking/IT Incident,Network Server,No,
"Patriot Growth Insurance Services, LLC",PA,Business Associate,881,7/21/2022,Hacking/IT Incident,Email,Yes,
Central Maine Medical Center,ME,Healthcare Provider,11938,7/21/2022,Hacking/IT Incident,Network Server,Yes,
"Cavender Stores, Ltd Health Plan",TX,Health Plan,4447,7/20/2022,Hacking/IT Incident,Network Server,No,
Keswick Multi-Care Center,MD,Healthcare Provider,1508,7/20/2022,Hacking/IT Incident,Email,No,
Zenith American Solutions,WA,Business Associate,37146,7/20/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,
The Bronx Accountable Healthcare Network,NY,Healthcare Provider,17161,7/20/2022,Hacking/IT Incident,Email,No,
Goodman Campbell Brain and Spine,IN,Healthcare Provider,362833,7/19/2022,Hacking/IT Incident,Network Server,No,
ProMedica,OH,Healthcare Provider,1178,7/19/2022,Unauthorized Access/Disclosure,Email,No,
"Acts Retirement Services, Inc. and Affiliates",PA,Healthcare Provider,2236,7/15/2022,Hacking/IT Incident,Network Server,No,
Mary Hitchcock Memorial Hospital d/b/a Dartmouth-Hitchcock Medical Center ,NH,Healthcare Provider,1201,7/15/2022,Loss,Laptop,No,
Benson Health,NC,Healthcare Provider,28913,7/15/2022,Hacking/IT Incident,Network Server,No,
"Orthopedic Specialists of North America, PLLC dba OrthoArizona",AZ,Healthcare Provider,2748,7/15/2022,Hacking/IT Incident,Network Server,No,
"Kaiser Foundation Health Plan, Inc., Southern California ",CA,Health Plan,75010,7/15/2022,Theft,Other Portable Electronic Device,No,
East Valley Ophthalmology,AZ,Healthcare Provider,20734,7/15/2022,Hacking/IT Incident,Electronic Medical Record,Yes,
Washington University School of Medicine,MO,Healthcare Provider,1056,7/14/2022,Hacking/IT Incident,Network Server,No,
"Premere Infinity Rehab, LLC",OR,Business Associate,183254,7/13/2022,Hacking/IT Incident,Network Server,Yes,
